"names","pts","ast","reb","wins","total_games","win_pct","year"
"Chuck Grigsby",2.28571428571429,NA,NA,4,7,0.571428571428571,1955
"Clyde Lovellette",18.7,NA,NA,40,70,0.571428571428571,1955
"Connie Simmons",7.72,NA,NA,12,25,0.48,1955
"Danny Finn",4.81395348837209,NA,NA,20,43,0.465116279069767,1955
"Dick Farley",5.91304347826087,NA,NA,40,69,0.579710144927536,1955
"Dick McGuire",9.11267605633803,NA,NA,38,71,0.535211267605634,1955
"Dick Rosenthal",7.82089552238806,NA,NA,43,67,0.641791044776119,1955
"Dick Schnittker",10.3611111111111,NA,NA,40,72,0.555555555555556,1955
"Dolph Schayes",18.4861111111111,NA,NA,43,72,0.597222222222222,1955
"Don Anielak",3,0,2,0,1,0,1955
"Don Barksdale",10.4444444444444,NA,NA,36,72,0.5,1955
"Don Henriksen",5.13333333333333,NA,NA,26,60,0.433333333333333,1955
"Don Meineke",5.80882352941176,NA,NA,41,68,0.602941176470588,1955
"Don Sunderlage",2.55555555555556,NA,NA,24,45,0.533333333333333,1955
"Dwight Morrison",4.33802816901408,NA,NA,35,71,0.492957746478873,1955
"Earl Lloyd",10.2222222222222,NA,NA,43,72,0.597222222222222,1955
"Ed Kalafat",4.81944444444444,NA,NA,40,72,0.555555555555556,1955
"Ed Macauley",17.6056338028169,NA,NA,36,71,0.507042253521127,1955
"Frank Brian",9.57746478873239,NA,NA,42,71,0.591549295774648,1955
"Frank Ramsey",11.203125,NA,NA,34,64,0.53125,1955
"Frank Saul",4.44615384615385,NA,NA,24,65,0.369230769230769,1955
"Frank Selvy",18.3833333333333,NA,NA,24,60,0.4,1955
"Fred Christ",3.33333333333333,NA,NA,3,6,0.5,1955
"Fred Diute",1.57142857142857,NA,NA,1,7,0.142857142857143,1955
"Freddie Scolari",3.18333333333333,NA,NA,26,60,0.433333333333333,1955
"Gene Shue",4.11111111111111,NA,NA,34,63,0.53968253968254,1955
"George Dempsey",7.33333333333333,NA,NA,23,48,0.479166666666667,1955
"George King",8.88059701492537,NA,NA,40,67,0.597014925373134,1955
"George Ratkovicz",1.77777777777778,NA,NA,2,9,0.222222222222222,1955
"George Yardley",17.35,NA,NA,38,60,0.633333333333333,1955
"Harry Gallatin",14.5972222222222,NA,NA,38,72,0.527777777777778,1955
"Herm Hedderick",0.8,NA,NA,3,5,0.6,1955
"Jack Coleman",12.8333333333333,NA,NA,29,72,0.402777777777778,1955
"Jack George",11.3529411764706,NA,NA,32,68,0.470588235294118,1955
"Jack McMahon",9.11111111111111,NA,NA,29,72,0.402777777777778,1955
"Jack Nichols",9.9375,NA,NA,32,64,0.5,1955
"Jack Turner",4.33846153846154,NA,NA,33,65,0.507692307692308,1955
"Jackie Moore",4.90909090909091,NA,NA,10,22,0.454545454545455,1955
"Jim Baechtold",13.9166666666667,NA,NA,38,72,0.527777777777778,1955
"Jim Fritsche",3.21428571428571,NA,NA,10,14,0.714285714285714,1955
"Jim Holstein",4.52380952380952,NA,NA,34,63,0.53968253968254,1955
"Jim Pollard",10.8095238095238,NA,NA,36,63,0.571428571428571,1955
"Jim Tucker",4.95,NA,NA,13,20,0.65,1955
"Joe Graboski",13.6,NA,NA,33,70,0.471428571428571,1955
"Johnny Kerr",10.4722222222222,NA,NA,43,72,0.597222222222222,1955
"Ken McBride",9.75,NA,NA,2,12,0.166666666666667,1955
"Ken Murray",7.05084745762712,NA,NA,27,59,0.457627118644068,1955
"Larry Costello",6.21052631578947,NA,NA,9,19,0.473684210526316,1955
"Larry Foust",17.0142857142857,NA,NA,41,70,0.585714285714286,1955
"Lew Hitch",6.04054054054054,NA,NA,29,74,0.391891891891892,1955
"Lucian Whitaker",0.666666666666667,0.333333333333333,0.333333333333333,1,3,0.333333333333333,1955
"Max Zaslofsky",11.2142857142857,NA,NA,42,70,0.6,1955
"Mel Hutchins",11.9166666666667,NA,NA,43,72,0.597222222222222,1955
"Michael Kearns",0.166666666666667,NA,NA,2,6,0.333333333333333,1955
"Nat Clifton",13.1527777777778,NA,NA,38,72,0.527777777777778,1955
"Neil Johnston",22.7222222222222,NA,NA,33,72,0.458333333333333,1955
"Odie Spears",9.50704225352113,NA,NA,28,71,0.394366197183099,1955
